simple_te_gold_label	simple_te_prediction	simple_te_premise_toks	simple_te_hypothesis_toks	premise	hypothesis	mt_gold_label	mt_prediction	mt_premise_toks	mt_hypothesis_toks	mt_jpg
entailment	neutral	a man is falling off a horse on a track and is laid in the wild	a man is getting on a horse on a track laid in the wild	A man is falling off a horse on a track and is laid in the wild	A man is getting on a horse on a track laid in the wild	entailment	entailment	a man is falling off a horse on a track and is laid in the wild	a man is getting on a horse on a track laid in the wild	2578289278_01516d23a0.jpg
entailment	contradiction	the snowboarder is leaping over white snow	one person who is practicing snowboarding jumps into the air	The snowboarder is leaping over white snow	One person who is practicing snowboarding jumps into the air	entailment	entailment	the snowboarder is leaping over white snow	one person who is practicing snowboarding jumps into the air	2975118353_5af5a5df54.jpg
entailment	neutral	a person is standing in a vast field of glacial ice	the person is standing on white ice	A person is standing in a vast field of glacial ice	The person is standing on white ice	entailment	entailment	a person is standing in a vast field of glacial ice	the person is standing on white ice	321229104_3cbaf0f51c.jpg
entailment	contradiction	a man on a bicycle is riding on the beach	a person is riding a bicycle in the sand beside the ocean	A man on a bicycle is riding on the beach	A person is riding a bicycle in the sand beside the ocean	entailment	entailment	a man on a bicycle is riding on the beach	a person is riding a bicycle in the sand beside the ocean	2137789511_69a6c6afa8.jpg
entailment	contradiction	a white dog is standing on fallen leaves	one white dog is standing on the leaves on the ground	A white dog is standing on fallen leaves	One white dog is standing on the leaves on the ground	entailment	entailment	a white dog is standing on fallen leaves	one white dog is standing on the leaves on the ground	3439243433_d5f3508612.jpg
entailment	neutral	a brown dog and a black dog are playing in the sand	the black dog is playing with the brown dog on the sand	A brown dog and a black dog are playing in the sand	The black dog is playing with the brown dog on the sand	entailment	entailment	a brown dog and a black dog are playing in the sand	the black dog is playing with the brown dog on the sand	260231029_966e2f1727.jpg
entailment	contradiction	the black dog is walking through the tall grass	the black dog is not running through the grass	The black dog is walking through the tall grass	The black dog is not running through the grass	entailment	entailment	the black dog is walking through the tall grass	the black dog is not running through the grass	1361420539_e9599c60ae.jpg
entailment	neutral	the man is doing a wheelie on a mountain bike	a man on a bicycle is riding on one wheel only	The man is doing a wheelie on a mountain bike	A man on a bicycle is riding on one wheel only	entailment	entailment	the man is doing a wheelie on a mountain bike	a man on a bicycle is riding on one wheel only	990890291_afc72be141.jpg
entailment	contradiction	small children are climbing a statue in a park	some children are playing on a statue	Small children are climbing a statue in a park	Some children are playing on a statue	entailment	entailment	small children are climbing a statue in a park	some children are playing on a statue	1428681303_04213524e3.jpg
entailment	contradiction	a person on a bike is jumping through the air and the sun is flaring through the bike frame	the person is flying through the air on a bicycle	A person on a bike is jumping through the air and the sun is flaring through the bike frame	The person is flying through the air on a bicycle	entailment	entailment	a person on a bike is jumping through the air and the sun is flaring through the bike frame	the person is flying through the air on a bicycle	3522076584_7c603d2ac5.jpg
entailment	neutral	three people are driving atvs	three people are driving four wheel vehicles in a field	Three people are driving ATVs	Three people are driving four wheel vehicles in a field	entailment	entailment	three people are driving atvs	three people are driving four wheel vehicles in a field	109823394_83fcb735e1.jpg
entailment	neutral	a black dog and a white dog are wrestling on the ground	two dogs are fighting	A black dog and a white dog are wrestling on the ground	Two dogs are fighting	entailment	entailment	a black dog and a white dog are wrestling on the ground	two dogs are fighting	1897025969_0c41688fa6.jpg
